alert_id,timestamp,mode,verdict,ai_score,analyst_decision,accuracy_flag,tools_used,investigation_time_sec,kill_chain_tactics,asset_criticality,data_sensitivity,alert_category,total_input_tokens,total_output_tokens,cache_creation_tokens,cache_read_tokens,estimated_cost_usd,cache_savings_usd,ai_calls_count,tool_calls_count,model_used
INC-WKSTN-FIN-055,2026-06-21T03:03:22.755Z,standard,NEEDS_ESCALATION,9.9,TP,correct,asset_lookup|siem_query|user_lookup|watchlist_check|siem_query|abuseipdb|virustotal_url|siem_query,113,,Unknown,Unknown,
INC-WKSTN-FIN-055,2026-06-21T03:07:44.647Z,standard,NEEDS_ESCALATION,9.8,Escalate,correct,asset_lookup|siem_query|user_lookup|watchlist_check|virustotal_url|siem_query|ip_geo|abuseipdb,108,,Unknown,Unknown,
INC-mchen,2026-06-21T03:25:28.764Z,standard,NEEDS_ESCALATION,9.4,TP,correct,user_lookup|asset_lookup|watchlist_check|watchlist_check|virustotal_url|urlscan|siem_query|siem_query,105,,Unknown,Unknown,
ALT-2026-003,2026-06-21T03:28:00.428Z,standard,NEEDS_ESCALATION,9.4,TP,correct,user_lookup|ip_geo|abuseipdb|watchlist_check|siem_query|asset_lookup,73,,Unknown,Unknown,Identity
ALT-2026-015,2026-06-21T03:31:15.278Z,standard,NEEDS_ESCALATION,9.6,Escalate,correct,user_lookup|asset_lookup|watchlist_check|virustotal_url|siem_query|urlscan,81,,Unknown,Unknown,Email
INC-bwilson,2026-06-21T03:35:41.541Z,standard,NEEDS_ESCALATION,9.2,Escalate,correct,user_lookup|asset_lookup|siem_query|watchlist_check|ip_geo|abuseipdb|virustotal_url|siem_query,109,,Unknown,Unknown,
INC-ptran,2026-06-21T03:37:37.146Z,standard,NEEDS_ESCALATION,9.1,FP,incorrect,user_lookup|asset_lookup|watchlist_check|virustotal_url|urlscan|abuseipdb|siem_query|watchlist_check,91,,Unknown,Unknown,
ALT-2026-001,2026-06-21T03:39:13.608Z,standard,TRUE_POSITIVE,9.6,TP,incorrect,ip_geo|watchlist_check|abuseipdb|user_lookup|asset_lookup|siem_query,81,,Unknown,Unknown,Network
INC-WKSTN-FIN-055,2026-06-23T01:21:57.530Z,standard,TRUE_POSITIVE,9.8,Escalate,incorrect,asset_lookup|siem_query|user_lookup|watchlist_check|siem_query|virustotal_url|siem_query|abuseipdb,120,,Unknown,Unknown,
INC-WKSTN-FIN-055,2026-06-24T20:21:07.969Z,parallel,TRUE_POSITIVE,9.8,Escalate,incorrect,siem_query|ip_geo|abuseipdb|virustotal_ip|watchlist_check|asset_lookup,77,Defense Evasion / Impact,Unknown,Unknown,
ALT-2026-013,2026-06-24T21:06:46.988Z,standard,NEEDS_ESCALATION,9.2,Escalate,correct,user_lookup|siem_query|watchlist_check|virustotal_url|asset_lookup|siem_query,91,Privilege Escalation / Persistence,Unknown,Unknown,Cloud
ALT-2026-024,2026-06-24T21:15:55.968Z,standard,NEEDS_ESCALATION,9.2,Escalate,correct,user_lookup|siem_query|asset_lookup|watchlist_check|siem_query|watchlist_check,82,Persistence,Unknown,Unknown,Identity
ALT-2026-002,2026-06-24T21:32:08.260Z,standard,NEEDS_ESCALATION,9.2,,,virustotal_url|urlscan|watchlist_check|user_lookup|siem_query|whois,92,Initial Access,Unknown,Unknown,Email
INC-rhayes,2026-06-24T22:53:09.795Z,adaptive,NEEDS_ESCALATION,9.2,Escalate,correct,user_lookup|siem_query|virustotal_url|watchlist_check|whois|asset_lookup|ip_geo|abuseipdb|urlscan|urlscan,145,Initial Access / Credential Access,Unknown,Unknown
ALT-2026-015,2026-06-24T22:57:07.985Z,chain,NEEDS_ESCALATION,8.5,,,user_lookup|asset_lookup|user_lookup|asset_lookup|watchlist_check|virustotal_url|siem_query|urlscan|whois|abuseipdb,160,Initial Access,Unknown,Unknown,Email
ALT-2026-006,2026-06-24T23:58:30.188Z,standard,TRUE_POSITIVE,9.8,,,asset_lookup|siem_query|watchlist_check|user_lookup|virustotal_url|siem_query,90,Impact,Unknown,Unknown,Endpoint
ALT-2026-018,2026-06-25T00:08:13.673Z,standard,NEEDS_ESCALATION,9.2,Escalate,correct,asset_lookup|siem_query|user_lookup|watchlist_check|siem_query|abuseipdb,90,Defense Evasion,Unknown,Unknown,Endpoint,1459,4296,2311,2311,0.078177,0.00624,2,6
INC-mchen,2026-06-25T16:22:28.623Z,parallel,NEEDS_ESCALATION,9.1,Escalate,correct,user_lookup|siem_query|watchlist_check|virustotal_url|urlscan|asset_lookup,76,Initial Access,Unknown,Unknown,Incident,9072,4458,6933,2311,0.120778,0.00624,4,6
INC-mchen,2026-06-26T00:25:58.379Z,adaptive,NEEDS_ESCALATION,8.7,Escalate,correct,user_lookup|virustotal_url|urlscan|whois|watchlist_check|virustotal_url|siem_query|asset_lookup|urlscan|virustotal_url,116,Initial Access,Unknown,Unknown,Incident,5538,5394,2311,11555,0.109657,0.031199,6,10
INC-mchen,2026-06-26T01:01:42.783Z,chain,NEEDS_ESCALATION,7.5,,,user_lookup|asset_lookup|user_lookup|siem_query|asset_lookup|watchlist_check|virustotal_url|urlscan|whois|watchlist_check|abuseipdb|siem_query,191,Initial Access,Unknown,Unknown,Incident,4999,8689,2311,9244,0.156771,0.024959,5,12
INC-rhayes,2026-06-26T20:56:14.483Z,standard,TRUE_POSITIVE,9.5,,,user_lookup|asset_lookup|watchlist_check|whois|urlscan|virustotal_url|siem_query|siem_query,139,Initial Access,Unknown,Unknown,Incident,2230,5982,2311,2311,0.10578,0.00624,2,8
INC-rhayes,2026-06-26T21:34:02.343Z,standard,NEEDS_ESCALATION,9.5,,,user_lookup|asset_lookup|watchlist_check|whois|virustotal_url|urlscan|ip_geo|siem_query,115,Initial Access,Unknown,Unknown,Incident,2303,5210,2311,2311,0.094419,0.00624,2,8
INC-mchen,2026-06-26T21:55:58.357Z,standard,NEEDS_ESCALATION,9.2,TP,correct,user_lookup|virustotal_url|virustotal_url|whois|urlscan|watchlist_check|asset_lookup|siem_query,108,Initial Access,Unknown,Unknown,Incident,2120,5137,0,4622,0.084802,0.012479,2,8,
ALT-2026-002,2026-06-27T14:45:02.031Z,standard,TRUE_POSITIVE,9.2,TP,incorrect,virustotal_url|urlscan|whois|watchlist_check|user_lookup|siem_query,84,Initial Access,Unknown,Unknown,Email,1565,3947,2311,2311,0.07326,0.00624,2,6,claude-sonnet-4-6
ALT-2026-022,2026-06-27T15:35:59.874Z,standard,TRUE_POSITIVE,8,,,virustotal_url|whois|urlscan|user_lookup|asset_lookup|watchlist_check,36,Initial Access,Unknown,Unknown,Email,6173,2932,0,0,0.020833,0,2,6,claude-haiku-4-5-20251001
INC-mchen,2026-06-29T17:30:26.884Z,parallel,NEEDS_ESCALATION,9,,,user_lookup|siem_query|watchlist_check|virustotal_url|urlscan|asset_lookup,76,Initial Access,Unknown,Unknown,Incident,9279,4524,4622,4622,0.114416,0.012479,4,6,claude-sonnet-4-6
INC-mchen,2026-06-29T17:34:34.024Z,chain,NEEDS_ESCALATION,7.5,Escalate,correct,user_lookup|asset_lookup|virustotal_url|urlscan|user_lookup|asset_lookup|siem_query|watchlist_check|watchlist_check|whois|abuseipdb|ip_geo,201,Initial Access,Unknown,Unknown,Incident,4994,9206,0,11555,0.156539,0.031199,5,12,claude-sonnet-4-6
INC-mchen,2026-06-29T17:49:25.520Z,chain,NEEDS_ESCALATION,7.8,TP,correct,user_lookup|asset_lookup|user_lookup|virustotal_url|virustotal_url|urlscan|whois|watchlist_check|asset_lookup|siem_query|ip_geo|abuseipdb,190,Initial Access,Unknown,Unknown,Incident,5001,8855,2311,9244,0.159267,0.024959,5,12,claude-sonnet-4-6
