alert_id,timestamp,severity,category,title,user_id,hostname,src_ip,dst_ip,verdict,analyst_notes,closed_at,mitre_tactic
HIST-001,2026-05-01T22:15:00Z,Medium,Network,After-hours login VPN,jsmith,WKSTN-FIN-042,203.0.113.55,10.10.5.42,False Positive,User confirmed working late on quarter-end reports. Verified via manager approval.,2026-05-01T23:00:00Z,Initial Access
HIST-002,2026-05-03T14:30:00Z,Low,Email,Phishing simulation click,mchen,WKSTN-FIN-019,,,False Positive,Internal phishing simulation by security team. User notified and received awareness training.,2026-05-03T15:00:00Z,Initial Access
HIST-003,2026-04-28T03:20:00Z,High,Identity,Suspicious login - off hours,jsmith,WKSTN-FIN-042,185.220.101.45,10.10.5.42,True Positive,Login from known Tor exit node. Password reset forced. Session terminated. Source IP confirmed malicious.,2026-04-28T04:15:00Z,Initial Access
HIST-004,2026-04-15T11:00:00Z,Medium,DLP,SharePoint bulk access,dpark,WKSTN-FIN-033,,,False Positive,User performing quarterly audit of financial documents. Approved by manager.,2026-04-15T12:00:00Z,Exfiltration
HIST-005,2026-04-10T09:00:00Z,High,Email,Spear phishing - finance exec,rhayes,LAPTOP-EXEC-001,,,True Positive,Executive targeted by APT group. Malicious link clicked but sandboxed. Email blocked. Incident INC-2026-089.,2026-04-10T10:30:00Z,Initial Access
HIST-006,2026-04-05T16:00:00Z,Low,Network,Port scan from external,,,10.10.0.2,,False Positive,Routine internet scanner (Shodan). No action required.,2026-04-05T16:30:00Z,Discovery
HIST-007,2026-03-22T08:00:00Z,Medium,Cloud,Unusual AWS API calls,ci-deploy-prod,AWS-EC2-PROD-02,,,False Positive,New deployment pipeline testing. Approved change ticket CHG-2026-0445.,2026-03-22T09:00:00Z,Privilege Escalation
HIST-008,2026-03-15T02:00:00Z,High,Identity,Service account anomaly,svc-backup-admin,DC-CORP-01,10.10.1.15,10.10.0.1,True Positive,Unauthorized use of backup service account by former contractor. Account disabled. Investigation ongoing.,2026-03-15T03:30:00Z,Privilege Escalation
HIST-009,2026-05-08T11:00:00Z,Medium,Email,Suspicious macro attachment,sjohnson,WKSTN-FIN-011,,,True Positive,Macro-enabled document from external party. File quarantined. User trained. No execution detected.,2026-05-08T12:00:00Z,Execution
HIST-010,2026-05-10T14:00:00Z,Medium,DLP,Email to personal account,dpark,WKSTN-FIN-033,,,True Positive,HR documentation forwarded to personal email. HR and Legal notified. Resignation submitted 3 days later.,2026-05-10T15:00:00Z,Exfiltration
HIST-011,2026-04-20T10:00:00Z,High,Network,Lateral movement attempt,,,10.10.8.15,10.10.0.0/16,True Positive,Compromised marketing workstation used for internal recon. WKSTN-MKTG-015 reimaged. Phishing root cause.,2026-04-20T12:00:00Z,Lateral Movement
HIST-012,2026-04-12T15:00:00Z,Low,Endpoint,USB device connected,alee,WKSTN-FIN-047,,,False Positive,Authorized USB keyboard. Vendor ID confirmed. No data transfer detected.,2026-04-12T15:30:00Z,Exfiltration
HIST-013,2026-05-05T09:00:00Z,Critical,Endpoint,Ransomware behavior,,,10.10.6.88,,True Positive,MAJOR INCIDENT INC-2026-112: Ransomware on HR workstation. 12000 files encrypted. Isolated. Restored from backup. CVE-2024-21334.,2026-05-05T14:00:00Z,Impact
HIST-014,2026-05-12T16:00:00Z,Medium,Identity,MFA bypass attempt,rhayes,LAPTOP-EXEC-001,198.51.100.42,,False Positive,CFO confirmed travel to NYC. Login from hotel network matches confirmed travel itinerary.,2026-05-12T16:30:00Z,Initial Access
HIST-015,2026-04-30T13:00:00Z,Medium,Cloud,S3 public access attempt,ci-deploy-prod,AWS-EC2-PROD-02,,,True Positive,Misconfigured terraform attempted to set public ACL on staging bucket. Script corrected. No data exposed.,2026-04-30T14:00:00Z,Exfiltration
HIST-016,2025-11-14T03:45:00Z,High,Network,C2 beacon to Cobalt Strike server,jsmith,WKSTN-FIN-042,10.10.5.42,45.142.120.50,True Positive,WKSTN-FIN-042 beaconing to known CS infrastructure. Host isolated. Memory forensics initiated. Phishing email root cause confirmed.,2025-11-14T06:30:00Z,Command and Control
HIST-017,2025-11-18T10:00:00Z,Low,Email,Marketing newsletter flagged,mchen,WKSTN-FIN-019,,,False Positive,Legitimate vendor newsletter from Salesforce Marketing Cloud. Sender verified. Allow-listed.,2025-11-18T10:30:00Z,Initial Access
HIST-018,2025-11-25T01:30:00Z,High,Identity,Credential stuffing - 312 attempts,ckim,WKSTN-FIN-019,203.0.114.70,,True Positive,Credential stuffing from known botnet IP. 4 accounts compromised. Passwords reset. MFA enforced on all finance accounts.,2025-11-25T04:00:00Z,Credential Access
HIST-019,2025-12-04T14:00:00Z,High,DLP,IP theft - source code exfil,ptran,WKSTN-DEV-022,,,True Positive,Developer uploaded proprietary trading algorithm source to personal GitHub. Repo made private. Legal hold placed. HR involved.,2025-12-04T17:00:00Z,Exfiltration
HIST-020,2025-12-09T09:00:00Z,Medium,Endpoint,False malware detection,lmartinez,WKSTN-FIN-028,,,False Positive,CrowdStrike false positive on legitimate Python interpreter. Exclusion added after validation. Vendor case filed.,2025-12-09T10:00:00Z,Execution
HIST-021,2025-12-15T22:00:00Z,High,Cloud,S3 bucket world-readable,ci-deploy-prod,AWS-EC2-PROD-02,,,True Positive,Production S3 bucket exposed publicly for 14 minutes via misconfigured IaC template. 0 external accesses logged. Bucket locked. Dev notified.,2025-12-15T23:30:00Z,Exfiltration
HIST-022,2025-12-20T16:00:00Z,Low,Network,VPN split-tunnel false trigger,bwilson,WKSTN-MKTG-007,,,False Positive,VPN split-tunnel routing caused legitimate traffic to appear as suspicious bypass. Policy updated.,2025-12-20T16:45:00Z,Defense Evasion
HIST-023,2026-01-08T02:15:00Z,Critical,Identity,Account takeover - finance manager,mchen,WKSTN-FIN-019,91.108.4.0,,True Positive,Finance manager account fully compromised. Attacker changed MFA device. 3 fraudulent wire transfers totalling $182k initiated - all blocked. INCIDENT INC-2026-003.,2026-01-08T07:00:00Z,Initial Access
HIST-024,2026-01-12T11:00:00Z,Low,Email,Bulk marketing email,sjohnson,WKSTN-FIN-011,,,False Positive,User subscribed to legitimate financial newsletter. Added to approved senders list.,2026-01-12T11:30:00Z,Initial Access
HIST-025,2026-01-19T04:30:00Z,High,Network,Lateral movement - RDP chain,,,10.10.7.5,10.10.0.0/16,True Positive,Attacker pivoting via RDP from DMZ host through 4 internal systems. All affected hosts isolated. Forensic images taken.,2026-01-19T08:30:00Z,Lateral Movement
HIST-026,2026-01-24T13:00:00Z,Low,Cloud,AWS config rule change,tadmin,AZURE-MGMT,,,False Positive,Authorized security team hardening activity. Change request CHG-2026-0112 verified.,2026-01-24T13:30:00Z,Defense Evasion
HIST-027,2026-02-05T08:00:00Z,High,Endpoint,Formbook infostealer,alee,WKSTN-FIN-047,,,True Positive,Formbook variant detected stealing browser credentials and keystrokes. Host quarantined. All credentials rotated. 47 passwords harvested estimated.,2026-02-05T11:00:00Z,Collection
HIST-028,2026-02-09T10:00:00Z,Medium,DLP,Authorized bulk export,dpark,WKSTN-FIN-033,,,False Positive,Year-end audit data export authorized by CFO. Ticket AUTH-2026-0089 confirmed.,2026-02-09T10:30:00Z,Exfiltration
HIST-029,2026-02-14T09:00:00Z,Low,Identity,MFA token sync issue,sjohnson,WKSTN-FIN-011,,,False Positive,MFA authentication failures due to time drift on authenticator app. User re-enrolled. No malicious activity.,2026-02-14T09:30:00Z,Credential Access
HIST-030,2026-02-22T10:30:00Z,High,Email,Spear phishing - wire fraud,lmartinez,WKSTN-FIN-028,,,True Positive,AP manager targeted with convincing BEC email. Malicious link clicked. Credentials entered on phishing page. Password reset. $0 financial impact.,2026-02-22T12:30:00Z,Initial Access
HIST-031,2026-02-28T23:00:00Z,Critical,Network,Large data exfiltration via SFTP,svc-mysql,DB-CORP-MYSQL-01,10.10.2.20,185.220.100.5,True Positive,Database server exfiltrating 11 GB customer PII to Russia-based IP. Connection severed. DB server isolated. Breach notification initiated. INCIDENT INC-2026-031.,2026-03-01T04:30:00Z,Exfiltration
HIST-032,2026-03-05T14:00:00Z,Low,Endpoint,AV false positive - dev tool,ptran,WKSTN-DEV-022,,,False Positive,CrowdStrike flagged Metasploit framework used for authorized pen test. Exclusion added for approved test window.,2026-03-05T14:30:00Z,Execution
HIST-033,2026-03-11T11:00:00Z,High,Cloud,Privilege escalation in Azure,tadmin,AZURE-MGMT,,,True Positive,Compromised service principal used to assign Global Admin role. External attacker gained tenant-wide access for 23 minutes. All tokens revoked.,2026-03-11T13:30:00Z,Privilege Escalation
HIST-034,2026-03-18T05:30:00Z,High,Identity,Impossible travel - sales director,ckim,WKSTN-FIN-019,91.108.56.200,,True Positive,Account accessed from Philippines 8 minutes after Charlotte login. Account suspended. Confirmed breach. Forensics ongoing.,2026-03-18T07:00:00Z,Initial Access
HIST-035,2026-03-21T11:00:00Z,Low,Email,Vendor notification email,mchen,WKSTN-FIN-019,,,False Positive,Legitimate payment notification from Stripe. Sender domain verified. DLP policy tuned to reduce FP on payment processors.,2026-03-21T11:30:00Z,Initial Access
HIST-036,2026-03-27T09:00:00Z,Low,Network,Automated vulnerability scanner,,,198.51.100.88,,False Positive,Shodan / Censys automated scan. Source IP confirmed as research scanner. No action required.,2026-03-27T09:30:00Z,Discovery
HIST-037,2026-04-02T08:00:00Z,High,DLP,Bulk customer data download,dpark,WKSTN-FIN-033,,,True Positive,"Departing employee downloaded 3,400 customer records 2 days before last day. HR escalated. Legal hold. Forensic copy obtained.",2026-04-02T11:00:00Z,Exfiltration
